Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Response,Age,Cust_Since(yrs),Num_Childrns,AcceptedCmp,Total_amt_spend,Total_Purchases,Education_2n Cycle,Education_Basic,Education_Graduation,Education_Master,Education_PhD,Marital_Status_Absurd,Marital_Status_Divorced,Marital_Status_Engaged,Marital_Status_Married,Marital_Status_Single,Marital_Status_Widow,Marital_Status_YOLO,Age_Groups_Young,Age_Groups_Mid_aged,Age_Groups_Old,Outliers
84618.0,96,684,79.5,551,21.0,66.0,0.0,1,6,9,10,2,0,0,59,11,0,0,1672.0,26.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,-1
10979.0,34,8,4.0,10,2.0,2.0,4.0,2,3,0,3,5,0,0,35,10,0,0,30.0,8.0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1
38620.0,56,112,17.0,44,34.0,22.0,89.0,1,2,5,3,3,0,0,61,11,0,0,318.0,11.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
40548.0,31,110,0.0,5,2.0,0.0,3.0,2,2,1,4,5,0,0,54,12,1,2,120.0,9.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1
46610.0,8,96,12.0,96,33.0,22.0,43.0,6,4,1,6,6,0,1,72,12,2,4,302.0,17.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,-1
68657.0,4,482,34.0,471,119.0,68.0,22.0,1,3,5,9,7,0,0,78,11,0,0,1196.0,18.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,-1
49389.0,55,40,0.0,19,2.0,1.0,3.0,1,2,0,3,7,0,0,73,11,2,0,65.0,6.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1
67353.0,37,702,17.0,151,0.0,8.0,35.0,5,5,6,12,2,0,0,54,11,1,2,913.0,28.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1
23718.0,76,6,3.0,14,15.0,7.0,36.0,3,3,1,2,7,0,0,48,11,1,2,81.0,9.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
42429.0,99,55,0.0,6,2.0,0.0,4.0,2,1,1,3,5,0,0,51,10,1,2,67.0,7.0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1
48948.0,53,437,8.0,206,120.5,49.0,42.0,2,7,10,5,6,0,1,81,11,0,4,902.0,24.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,-1
80011.0,3,421,76.0,536,82.0,82.875,102.0,2,8,6,5,4,0,0,44,11,1,2,1395.0,21.0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
20559.0,88,13,1.0,29,3.0,0.0,7.0,2,2,0,3,8,0,0,39,11,1,2,53.0,7.0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
21994.0,4,9,0.0,6,3.0,1.0,3.0,1,0,0,3,5,0,0,67,12,1,2,22.0,4.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1
7500.0,19,3,1.0,10,3.0,2.0,12.0,3,2,0,3,5,0,0,49,11,1,2,31.0,8.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
79941.0,72,123,79.5,266,120.5,30.0,126.5,1,2,4,9,1,0,0,48,10,0,0,984.0,16.0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1
7500.0,24,3,18.0,14,15.0,22.0,50.0,3,3,1,3,9,0,1,28,12,0,4,122.0,10.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,-1
41728.0,92,13,6.0,15,3.0,5.0,13.0,1,2,0,2,10,0,0,56,11,1,2,55.0,5.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1
72550.0,39,826,50.0,317,50.0,38.0,38.0,6,5,2,12,8,0,0,70,12,2,0,1319.0,28.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,-1
65486.0,29,245,19.0,125,37.0,67.0,14.0,1,4,2,10,2,0,0,67,10,1,2,507.0,17.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1
79143.0,2,650,37.0,551,27.0,82.875,32.0,1,6,9,13,3,0,0,60,12,0,0,1693.0,29.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,-1
35790.0,54,12,6.0,20,30.0,1.0,3.0,2,2,0,3,7,0,0,47,11,1,2,72.0,7.0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
82582.0,54,510,79.5,550,120.5,40.0,126.5,1,4,9,7,1,0,1,47,10,0,4,1617.0,21.0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,-1
66373.0,57,328,9.0,124,12.0,24.0,109.0,6,4,2,10,3,0,0,46,11,2,0,606.0,23.0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
82384.0,55,984,51.0,432,120.5,82.875,126.5,1,3,10,13,1,0,1,69,12,0,4,1957.0,27.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,-1
70287.0,30,295,35.0,482,120.5,82.875,40.0,1,5,5,10,3,0,1,58,11,0,4,1093.0,21.0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,-1
27938.0,31,13,0.0,8,2.0,1.0,5.0,1,1,0,4,3,0,0,36,10,1,2,29.0,6.0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
55954.0,63,447,0.0,28,0.0,0.0,43.0,3,8,2,6,7,0,0,56,10,1,2,518.0,19.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1
75777.0,12,712,26.0,538,69.0,13.0,80.0,1,3,6,11,1,0,1,42,11,0,4,1438.0,21.0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,-1
66653.0,18,452,18.0,102,16.0,18.0,6.0,4,4,2,12,3,0,0,49,12,2,0,612.0,22.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1
61823.0,26,523,7.0,134,37.0,14.0,126.5,4,8,2,10,7,0,0,72,11,1,2,884.0,24.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1
67680.0,8,546,0.0,48,0.0,6.0,6.0,1,7,3,8,5,0,0,73,11,1,2,606.0,19.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
70666.0,29,398,40.0,367,119.0,82.875,30.0,1,7,4,4,4,0,0,76,11,0,0,1076.0,16.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1
25721.0,75,1,3.0,6,3.0,6.0,15.0,1,1,1,2,7,0,1,53,11,1,2,34.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1
32474.0,0,10,0.0,1,0.0,0.0,0.0,1,1,0,2,7,0,0,57,10,2,0,11.0,4.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1
88194.0,19,688,14.0,309,120.5,24.0,38.0,1,11,10,10,5,0,1,45,10,1,2,1274.0,32.0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,-1
69096.0,4,247,49.0,159,7.0,82.0,109.0,1,5,2,10,4,0,0,66,11,1,2,653.0,18.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1
74854.0,90,856,59.0,487,58.0,29.0,73.0,6,2,5,5,5,0,0,54,11,3,0,1562.0,19.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1
66991.0,1,496,36.0,460,120.5,60.0,12.0,3,4,8,6,3,0,0,70,12,0,0,1253.0,21.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,-1
65031.0,29,258,79.5,291,84.0,37.0,86.0,4,10,3,13,7,0,0,65,11,1,2,863.0,30.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1
60631.0,88,565,6.0,65,0.0,6.0,19.0,5,9,2,8,7,0,0,49,11,2,0,661.0,24.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1
28332.0,58,14,10.0,13,4.0,15.0,9.0,1,2,1,4,2,0,0,72,10,0,0,65.0,8.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1
40246.0,68,2,1.0,6,2.0,1.0,1.0,1,1,0,2,6,0,0,47,12,1,2,13.0,4.0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
75251.0,34,721,79.5,551,97.0,18.0,18.0,1,7,6,5,5,0,1,52,12,0,4,1890.0,19.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,-1
75825.0,40,1032,79.5,551,120.5,82.875,51.0,0,5,8,9,4,0,1,48,12,0,4,2209.0,22.0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,-1
26326.0,12,1,0.0,5,0.0,3.0,9.0,1,0,0,3,3,1,0,48,11,0,3,18.0,4.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-1
56046.0,9,577,0.0,64,0.0,0.0,51.0,2,10,1,8,8,0,1,59,11,0,4,692.0,21.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,-1
29760.0,87,64,4.0,68,7.0,5.0,17.0,4,3,1,4,8,0,0,39,12,1,2,165.0,12.0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
26304.0,5,4,1.0,5,2.0,0.0,4.0,1,1,0,2,7,0,0,55,11,1,2,16.0,4.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1
23559.0,87,25,5.0,19,7.0,0.0,23.0,3,3,0,3,7,0,0,51,11,1,2,79.0,9.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
81361.0,18,163,23.0,424,27.0,65.0,76.0,1,3,10,13,1,0,0,37,10,0,0,778.0,27.0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,-1
29440.0,95,17,8.0,14,10.0,4.0,3.0,2,1,0,4,7,0,0,64,11,2,0,56.0,7.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1
36138.0,48,130,0.0,16,0.0,0.0,5.0,5,3,1,4,7,0,0,54,11,2,0,151.0,13.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
50388.0,3,292,6.0,37,0.0,3.0,34.0,4,6,1,6,7,0,1,67,10,1,2,372.0,17.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1
79593.0,70,350,60.0,551,110.0,82.875,126.5,1,5,6,7,2,0,0,51,10,0,0,1366.0,19.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1
54178.0,79,135,9.0,39,4.0,0.0,7.0,1,2,2,5,2,0,0,57,10,1,2,194.0,10.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1
42394.0,69,15,2.0,10,0.0,1.0,4.0,1,1,0,3,7,0,0,52,10,1,2,32.0,5.0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1
23626.0,84,27,2.0,14,0.0,0.0,0.0,3,3,1,3,5,0,0,54,10,1,2,43.0,10.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1
30096.0,30,5,3.0,11,12.0,5.0,9.0,1,2,0,3,6,0,0,41,10,1,2,45.0,6.0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
47916.0,72,505,0.0,26,0.0,0.0,75.0,5,7,4,6,6,0,0,64,12,1,2,606.0,22.0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1
51813.0,37,51,2.0,7,0.0,1.0,2.0,2,2,0,3,7,0,0,52,11,2,0,63.0,7.0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1
78497.0,44,207,26.0,447,75.0,0.0,126.5,1,5,7,12,2,0,0,73,11,0,0,978.0,25.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-1
50150.0,32,135,46.0,92,65.0,61.0,11.0,2,5,2,7,5,0,0,41,11,0,0,410.0,16.0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
47823.0,0,53,1.0,5,2.0,1.0,10.0,2,2,0,3,8,0,0,64,11,1,2,72.0,7.0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
34554.0,43,41,1.0,6,2.0,0.0,5.0,2,2,0,3,6,0,0,65,10,1,2,55.0,7.0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
85693.0,59,386,79.5,183,120.5,82.875,111.0,2,9,5,11,5,0,0,45,11,1,2,1169.0,27.0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,-1
65846.0,68,562,79.5,276,80.0,40.0,81.0,1,6,3,6,4,0,0,79,11,0,0,1120.0,16.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1
87195.0,35,217,76.0,551,50.0,26.0,38.0,1,3,10,5,1,0,1,65,10,0,4,1097.0,20.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,-1
24594.0,94,1,3.0,6,10.0,0.0,9.0,1,1,0,3,5,0,0,45,11,1,2,29.0,5.0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1
49096.0,15,144,1.0,32,2.0,1.0,7.0,4,4,1,4,7,0,0,60,11,2,0,187.0,13.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1
52413.0,56,295,79.5,271,75.0,82.875,65.0,4,6,4,12,6,0,0,55,11,2,0,910.0,26.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1
38557.0,17,76,3.0,31,4.0,4.0,27.0,2,3,1,3,7,0,0,46,12,1,2,145.0,9.0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
89058.0,18,454,79.5,106,31.0,22.0,43.0,1,5,4,4,2,0,0,64,12,0,0,850.0,14.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
77298.0,46,425,79.5,292,23.0,35.0,79.0,1,6,6,11,3,0,0,45,11,1,2,969.0,24.0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1
68126.0,40,1228,17.0,311,23.0,51.0,86.0,1,7,4,5,9,0,1,33,12,0,4,1820.0,17.0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,-1
57288.0,27,527,0.0,21,0.0,0.0,60.0,3,8,1,8,6,0,0,61,10,1,2,608.0,20.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
86037.0,95,490,44.0,125,29.0,20.0,22.0,1,6,7,11,3,0,1,33,11,0,4,730.0,25.0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,-1
43974.0,19,378,0.0,101,0.0,0.0,72.0,5,6,4,6,7,0,0,44,12,1,2,551.0,21.0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
50785.0,27,64,1.0,21,0.0,1.0,27.0,2,2,1,3,6,0,0,62,11,2,0,114.0,8.0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1
90765.0,25,547,79.5,551,120.5,82.0,33.0,0,4,6,5,1,0,0,54,10,0,0,1724.0,15.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,-1
36550.0,74,47,79.5,94,120.5,82.875,120.0,5,9,1,5,9,0,0,46,11,1,2,577.0,20.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,-1
30753.0,85,12,5.0,25,0.0,9.0,30.0,2,1,1,3,5,0,0,57,11,2,0,81.0,7.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
21918.0,37,1,6.0,7,11.0,5.0,3.0,2,2,0,3,6,0,0,55,11,1,2,33.0,7.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1
56129.0,65,320,48.0,133,39.0,72.0,48.0,4,6,2,10,4,0,0,71,11,1,2,660.0,22.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
32557.0,13,34,3.0,29,0.0,4.0,10.0,3,2,1,3,5,0,1,57,10,1,2,80.0,9.0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1
19510.0,63,9,0.0,7,3.0,4.0,7.0,2,1,0,3,7,0,0,39,11,2,0,30.0,6.0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
30992.0,83,17,0.0,14,7.0,3.0,2.0,1,1,0,3,7,0,0,48,11,1,2,43.0,5.0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1
101970.0,69,722,27.0,102,44.0,72.0,126.5,0,6,8,13,2,0,1,41,11,0,4,1135.0,27.0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,-1
71488.0,87,162,33.0,124,40.0,28.0,126.5,2,3,4,7,1,0,0,59,11,0,0,559.0,16.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-1
79607.0,37,450,79.5,551,120.5,0.0,126.5,1,3,6,6,1,0,1,40,11,0,4,1923.0,16.0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,-1
54348.0,51,70,0.0,16,0.0,0.0,4.0,2,2,0,4,6,0,0,71,10,2,0,90.0,8.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1
77376.0,72,492,19.0,110,16.0,12.0,12.0,4,6,3,10,4,0,0,68,10,2,0,661.0,23.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1
62998.0,10,120,58.0,73,65.0,82.875,58.0,5,5,4,5,5,0,0,72,11,1,2,463.0,19.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1
61331.0,42,534,5.0,47,0.0,5.0,41.0,5,11,1,6,8,0,0,66,11,2,0,632.0,23.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,-1
73448.0,10,236,79.5,189,23.0,41.0,126.5,1,7,2,9,4,0,0,55,10,0,0,725.0,19.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1
41551.0,51,220,0.0,33,3.0,0.0,23.0,5,5,1,5,8,0,0,60,11,2,0,279.0,16.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1
62981.0,21,796,14.0,551,38.0,44.0,0.0,1,4,5,13,3,0,0,57,11,0,0,1482.0,23.0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
9548.0,31,0,1.0,3,10.0,6.0,9.0,2,1,0,3,8,0,0,48,12,1,2,29.0,6.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,-1
33762.0,61,53,1.0,34,2.0,0.0,16.0,3,2,2,2,8,0,0,65,11,3,0,106.0,9.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1
35860.0,37,15,0.0,8,4.0,2.0,20.0,2,1,1,2,5,0,1,51,10,2,4,49.0,6.0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
36921.0,74,17,1.0,12,3.0,1.0,4.0,2,2,0,3,7,0,0,59,11,2,0,38.0,7.0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
92859.0,46,962,61.0,551,52.0,61.0,20.0,1,5,4,12,2,0,0,32,12,0,0,2077.0,22.0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,-1
65104.0,4,738,0.0,232,13.0,20.0,50.0,2,3,5,7,7,0,1,48,11,1,2,1053.0,17.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
86111.0,73,399,28.0,551,36.0,40.0,126.0,1,5,7,10,2,0,0,62,11,0,0,1385.0,23.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1
68352.0,47,614,16.0,132,43.0,33.0,33.0,3,8,5,9,6,0,0,50,11,1,2,871.0,25.0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
41883.0,13,32,34.0,41,73.0,16.0,116.0,3,4,2,3,7,0,0,36,11,1,2,312.0,12.0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1
59809.0,36,598,16.0,141,32.0,41.0,49.0,3,3,3,6,8,0,0,48,12,2,0,877.0,15.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1
23957.0,47,2,1.0,18,20.0,11.0,16.0,1,2,0,3,6,0,1,49,12,1,2,68.0,6.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1
38547.0,49,6,1.0,10,0.0,1.0,4.0,1,1,0,2,8,1,0,43,11,1,3,22.0,4.0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1
35688.0,94,73,3.0,90,12.0,1.0,32.0,6,4,1,4,8,0,0,51,12,3,0,211.0,16.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
49605.0,65,42,16.0,29,12.0,20.0,8.0,1,2,1,4,3,0,0,58,10,0,0,127.0,8.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
59354.0,59,295,21.0,78,39.0,13.0,13.0,1,4,4,7,3,0,0,71,10,2,0,459.0,16.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1
65747.0,96,346,17.0,48,23.0,13.0,13.0,4,8,1,6,6,0,0,55,10,1,2,460.0,19.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1
46344.0,28,233,20.0,57,8.0,20.0,91.0,4,7,1,5,7,0,0,52,12,1,2,429.0,17.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
34176.0,12,5,7.0,24,19.0,14.0,20.0,4,3,0,4,6,0,0,36,10,1,2,89.0,11.0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
61010.0,57,888,0.0,57,0.0,0.0,76.0,2,8,5,11,5,0,0,72,12,1,2,1021.0,26.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1
69372.0,10,997,26.0,269,34.0,13.0,42.0,1,10,4,6,4,0,1,75,11,0,4,1381.0,21.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,-1
49967.0,4,212,6.0,69,4.0,12.0,3.0,3,6,1,5,7,0,0,66,11,1,2,306.0,15.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1
60199.0,49,8,1.0,7,2.0,0.0,0.0,1,0,0,3,4,0,0,46,11,3,0,18.0,4.0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
55375.0,3,42,11.0,57,10.0,28.0,14.0,1,1,1,6,2,0,0,47,11,1,2,162.0,9.0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1
80317.0,64,536,11.0,387,120.5,82.875,57.0,1,3,4,10,1,0,0,69,11,0,0,1231.0,18.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1
30523.0,0,5,0.0,3,0.0,0.0,5.0,1,1,0,2,7,0,0,66,11,3,0,13.0,4.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,-1
