Education,Marital_Status,Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Response,Age,Cust_Since(yrs),Num_Childrns,AcceptedCmp,Total_amt_spend,Total_Purchases,Age_Groups
Graduation,Single,61823.0,26,523,7,134,37,14,169,4,8,2,10,7,0,0,72,11,1,2,884,24,Old
PhD,Widow,67680.0,8,546,0,48,0,6,6,1,7,3,8,5,0,0,73,11,1,2,606,19,Old
Graduation,Engaged,70666.0,29,398,40,367,119,122,30,1,7,4,4,4,0,0,76,11,0,0,1076,16,Old
Graduation,Married,25721.0,75,1,3,6,3,6,15,1,1,1,2,7,0,1,53,11,1,2,34,5,Mid_aged
Graduation,Engaged,32474.0,0,10,0,1,0,0,0,1,1,0,2,7,0,0,57,10,2,0,11,4,Mid_aged
2n Cycle,Single,88194.0,19,688,14,309,201,24,38,1,11,10,10,5,0,1,45,10,1,2,1274,32,Young
Graduation,Engaged,69096.0,4,247,49,159,7,82,109,1,5,2,10,4,0,0,66,11,1,2,653,18,Old
Graduation,Engaged,74854.0,90,856,59,487,58,29,73,7,2,5,5,5,0,0,54,11,3,0,1562,19,Mid_aged
Master,Married,66991.0,1,496,36,460,189,60,12,3,4,8,6,3,0,0,70,12,0,0,1253,21,Old
Graduation,Married,65031.0,29,258,107,291,84,37,86,4,10,3,13,7,0,0,65,11,1,2,863,30,Mid_aged
PhD,Married,60631.0,88,565,6,65,0,6,19,5,9,2,8,7,0,0,49,11,2,0,661,24,Mid_aged
Graduation,Married,28332.0,58,14,10,13,4,15,9,1,2,1,4,2,0,0,72,10,0,0,65,8,Old
Graduation,Divorced,40246.0,68,2,1,6,2,1,1,1,1,0,2,6,0,0,47,12,1,2,13,4,Young
Master,Married,75251.0,34,721,111,925,97,18,18,1,7,6,5,5,0,1,52,12,0,4,1890,19,Mid_aged
Graduation,Single,75825.0,40,1032,105,779,137,105,51,0,5,8,9,4,0,1,48,12,0,4,2209,22,Mid_aged
2n Cycle,Engaged,26326.0,12,1,0,5,0,3,9,1,0,0,3,3,1,0,48,11,0,3,18,4,Mid_aged
Graduation,Engaged,56046.0,9,577,0,64,0,0,51,2,10,1,8,8,0,1,59,11,0,4,692,21,Mid_aged
Graduation,Single,29760.0,87,64,4,68,7,5,17,4,3,1,4,8,0,0,39,12,1,2,165,12,Young
Graduation,Married,26304.0,5,4,1,5,2,0,4,1,1,0,2,7,0,0,55,11,1,2,16,4,Mid_aged
2n Cycle,Married,23559.0,87,25,5,19,7,0,23,3,3,0,3,7,0,0,51,11,1,2,79,9,Mid_aged
Graduation,Divorced,81361.0,18,163,23,424,27,65,76,1,3,10,13,1,0,0,37,10,0,0,778,27,Young
Graduation,Married,29440.0,95,17,8,14,10,4,3,2,1,0,4,7,0,0,64,11,2,0,56,7,Mid_aged
Master,Married,36138.0,48,130,0,16,0,0,5,5,3,1,4,7,0,0,54,11,2,0,151,13,Mid_aged
Graduation,Single,50388.0,3,292,6,37,0,3,34,4,6,1,6,7,0,1,67,10,1,2,372,17,Old
Graduation,Married,79593.0,70,350,60,568,110,133,145,1,5,6,7,2,0,0,51,10,0,0,1366,19,Mid_aged
Graduation,Engaged,54178.0,79,135,9,39,4,0,7,1,2,2,5,2,0,0,57,10,1,2,194,10,Mid_aged
Master,Single,42394.0,69,15,2,10,0,1,4,1,1,0,3,7,0,0,52,10,1,2,32,5,Mid_aged
PhD,Married,23626.0,84,27,2,14,0,0,0,3,3,1,3,5,0,0,54,10,1,2,43,10,Mid_aged
Graduation,Married,30096.0,30,5,3,11,12,5,9,1,2,0,3,6,0,0,41,10,1,2,45,6,Young
Graduation,Widow,47916.0,72,505,0,26,0,0,75,5,7,4,6,6,0,0,64,12,1,2,606,22,Mid_aged
Graduation,Divorced,51813.0,37,51,2,7,0,1,2,2,2,0,3,7,0,0,52,11,2,0,63,7,Mid_aged
2n Cycle,Married,78497.0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,73,11,0,0,978,25,Old
PhD,Married,50150.0,32,135,46,92,65,61,11,2,5,2,7,5,0,0,41,11,0,0,410,16,Young
2n Cycle,Single,47823.0,0,53,1,5,2,1,10,2,2,0,3,8,0,0,64,11,1,2,72,7,Mid_aged
PhD,Single,34554.0,43,41,1,6,2,0,5,2,2,0,3,6,0,0,65,10,1,2,55,7,Mid_aged
Graduation,Engaged,85693.0,59,386,172,183,185,132,111,2,9,5,11,5,0,0,45,11,1,2,1169,27,Young
PhD,Married,65846.0,68,562,81,276,80,40,81,1,6,3,6,4,0,0,79,11,0,0,1120,16,Old
Graduation,Married,87195.0,35,217,76,690,50,26,38,1,3,11,5,1,0,1,65,10,0,4,1097,20,Mid_aged
Basic,Engaged,24594.0,94,1,3,6,10,0,9,1,1,0,3,5,0,0,45,11,1,2,29,5,Young
Graduation,Married,49096.0,15,144,1,32,2,1,7,4,4,1,4,7,0,0,60,11,2,0,187,13,Mid_aged
Graduation,Married,52413.0,56,295,106,271,75,98,65,4,6,4,12,6,0,0,55,11,2,0,910,26,Mid_aged
Graduation,Single,38557.0,17,76,3,31,4,4,27,2,3,1,3,7,0,0,46,12,1,2,145,9,Young
Master,Married,89058.0,18,454,194,106,31,22,43,1,5,4,4,2,0,0,64,12,0,0,850,14,Mid_aged
Graduation,Engaged,77298.0,46,425,115,292,23,35,79,1,6,6,11,3,0,0,45,11,1,2,969,24,Young
PhD,Single,68126.0,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,33,12,0,4,1820,17,Young
Master,Engaged,57288.0,27,527,0,21,0,0,60,3,8,1,8,6,0,0,61,10,1,2,608,20,Mid_aged
Graduation,Single,86037.0,95,490,44,125,29,20,22,1,6,7,11,3,0,1,33,11,0,4,730,25,Young
PhD,Married,43974.0,19,378,0,101,0,0,72,5,6,4,6,7,0,0,44,12,1,2,551,21,Young
Graduation,Single,50785.0,27,64,1,21,0,1,27,2,2,1,3,6,0,0,62,11,2,0,114,8,Mid_aged
Graduation,Married,90765.0,25,547,99,812,151,82,33,0,4,6,5,1,0,0,54,10,0,0,1724,15,Mid_aged
2n Cycle,Married,36550.0,74,47,90,94,123,103,120,5,9,1,5,9,0,0,46,11,1,2,577,20,Young
2n Cycle,Engaged,30753.0,85,12,5,25,0,9,30,2,1,1,3,5,0,0,57,11,2,0,81,7,Mid_aged
Graduation,Engaged,21918.0,37,1,6,7,11,5,3,2,2,0,3,6,0,0,55,11,1,2,33,7,Mid_aged
Master,Engaged,56129.0,65,320,48,133,39,72,48,4,6,2,10,4,0,0,71,11,1,2,660,22,Old
Master,Single,32557.0,13,34,3,29,0,4,10,3,2,1,3,5,0,1,57,10,1,2,80,9,Mid_aged
Master,Married,19510.0,63,9,0,7,3,4,7,2,1,0,3,7,0,0,39,11,2,0,30,6,Young
Graduation,Divorced,30992.0,83,17,0,14,7,3,2,1,1,0,3,7,0,0,48,11,1,2,43,5,Mid_aged
Graduation,Single,101970.0,69,722,27,102,44,72,168,0,6,8,13,2,0,1,41,11,0,4,1135,27,Young
2n Cycle,Engaged,71488.0,87,162,33,124,40,28,172,2,3,4,7,1,0,0,59,11,0,0,559,16,Mid_aged
Graduation,Single,79607.0,37,450,133,951,173,0,216,1,3,6,6,1,0,1,40,11,0,4,1923,16,Young
Master,Married,54348.0,51,70,0,16,0,0,4,2,2,0,4,6,0,0,71,10,2,0,90,8,Old
PhD,Engaged,77376.0,72,492,19,110,16,12,12,4,6,3,10,4,0,0,68,10,2,0,661,23,Old
Graduation,Married,62998.0,10,120,58,73,65,89,58,5,5,4,5,5,0,0,72,11,1,2,463,19,Old
Master,Single,61331.0,42,534,5,47,0,5,41,5,11,1,6,8,0,0,66,11,2,0,632,23,Old
Graduation,Married,73448.0,10,236,106,189,23,41,130,1,7,2,9,4,0,0,55,10,0,0,725,19,Mid_aged
PhD,Married,41551.0,51,220,0,33,3,0,23,5,5,1,5,8,0,0,60,11,2,0,279,16,Mid_aged
PhD,Engaged,62981.0,21,796,14,590,38,44,0,1,4,5,13,3,0,0,57,11,0,0,1482,23,Mid_aged
Basic,Divorced,9548.0,31,0,1,3,10,6,9,2,1,0,3,8,0,0,48,12,1,2,29,6,Mid_aged
PhD,Married,33762.0,61,53,1,34,2,0,16,3,2,2,2,8,0,0,65,11,3,0,106,9,Mid_aged
PhD,Single,35860.0,37,15,0,8,4,2,20,2,1,1,2,5,0,1,51,10,2,4,49,6,Mid_aged
PhD,Divorced,36921.0,74,17,1,12,3,1,4,2,2,0,3,7,0,0,59,11,2,0,38,7,Mid_aged
Master,Single,92859.0,46,962,61,921,52,61,20,1,5,4,12,2,0,0,32,12,0,0,2077,22,Young
Master,Engaged,65104.0,4,738,0,232,13,20,50,2,3,5,7,7,0,1,48,11,1,2,1053,17,Mid_aged
Graduation,Married,86111.0,73,399,28,756,36,40,126,1,5,7,10,2,0,0,62,11,0,0,1385,23,Mid_aged
PhD,Single,68352.0,47,614,16,132,43,33,33,3,8,5,9,6,0,0,50,11,1,2,871,25,Mid_aged
Graduation,Engaged,41883.0,13,32,34,41,73,16,116,3,4,2,3,7,0,0,36,11,1,2,312,12,Young
Graduation,Married,59809.0,36,598,16,141,32,41,49,3,3,3,6,8,0,0,48,12,2,0,877,15,Mid_aged
Graduation,Married,23957.0,47,2,1,18,20,11,16,1,2,0,3,6,0,1,49,12,1,2,68,6,Mid_aged
Graduation,Engaged,38547.0,49,6,1,10,0,1,4,1,1,0,2,8,1,0,43,11,1,3,22,4,Young
2n Cycle,Married,35688.0,94,73,3,90,12,1,32,7,4,1,4,8,0,0,51,12,3,0,211,16,Mid_aged
Master,Married,49605.0,65,42,16,29,12,20,8,1,2,1,4,3,0,0,58,10,0,0,127,8,Mid_aged
Master,Married,59354.0,59,295,21,78,39,13,13,1,4,4,7,3,0,0,71,10,2,0,459,16,Old
Graduation,Married,65747.0,96,346,17,48,23,13,13,4,8,1,6,6,0,0,55,10,1,2,460,19,Mid_aged
2n Cycle,Engaged,46344.0,28,233,20,57,8,20,91,4,7,1,5,7,0,0,52,12,1,2,429,17,Mid_aged
Graduation,Single,34176.0,12,5,7,24,19,14,20,4,3,0,4,6,0,0,36,10,1,2,89,11,Young
PhD,Engaged,61010.0,57,888,0,57,0,0,76,2,8,5,11,5,0,0,72,12,1,2,1021,26,Old
Graduation,Engaged,69372.0,10,997,26,269,34,13,42,1,10,4,6,4,0,1,75,11,0,4,1381,21,Old
Graduation,Single,49967.0,4,212,6,69,4,12,3,3,6,1,5,7,0,0,66,11,1,2,306,15,Old
Graduation,Single,60199.0,49,8,1,7,2,0,0,1,0,0,3,4,0,0,46,11,3,0,18,4,Young
Graduation,Engaged,55375.0,3,42,11,57,10,28,14,1,1,1,6,2,0,0,47,11,1,2,162,9,Young
Graduation,Single,80317.0,64,536,11,387,149,91,57,1,3,4,10,1,0,0,69,11,0,0,1231,18,Old
Master,Single,30523.0,0,5,0,3,0,0,5,1,1,0,2,7,0,0,66,11,3,0,13,4,Old
PhD,Married,70356.0,20,1349,16,249,43,16,33,2,10,6,9,6,0,0,79,12,0,0,1706,27,Old
Graduation,Married,23228.0,91,53,3,49,7,4,5,4,3,0,4,8,0,0,40,10,1,2,121,11,Young
PhD,Divorced,74165.0,9,1001,12,240,16,12,12,1,5,4,10,2,0,0,49,11,0,0,1293,20,Mid_aged
PhD,Married,157243.0,98,20,2,1582,1,2,1,15,0,22,0,0,0,0,51,10,1,2,1608,37,Mid_aged
Graduation,Engaged,43482.0,83,18,1,32,6,3,28,3,2,0,4,6,0,0,58,11,3,0,88,9,Mid_aged
Graduation,Divorced,62551.0,27,125,16,98,134,21,27,1,6,7,4,3,0,0,71,11,0,0,421,18,Old
Graduation,Divorced,52332.0,63,212,5,33,7,0,2,1,3,2,6,4,0,0,65,11,0,0,259,12,Mid_aged
Graduation,Single,66951.0,46,277,162,305,173,76,124,1,3,4,7,1,0,0,36,11,0,0,1117,15,Young
Graduation,Engaged,26091.0,84,15,10,19,8,17,20,3,2,1,3,5,0,0,67,10,2,0,89,9,Old
Graduation,Engaged,33456.0,58,7,3,10,8,1,7,2,1,0,3,7,0,0,59,10,2,0,36,6,Mid_aged
Graduation,Married,28718.0,78,12,4,6,11,8,16,2,2,0,3,8,0,0,42,11,1,2,57,7,Young
Graduation,Married,50447.0,4,85,7,24,2,3,27,1,3,1,3,6,0,0,54,10,2,0,148,8,Mid_aged
PhD,Engaged,53537.0,17,81,0,6,0,0,6,2,2,1,3,5,0,0,65,10,2,0,93,8,Mid_aged
Graduation,Single,52074.0,77,59,0,12,0,0,48,1,2,2,2,4,0,0,57,10,1,2,119,7,Mid_aged
PhD,Married,80427.0,56,1149,71,449,69,71,26,1,11,8,8,5,0,0,49,12,1,2,1835,28,Mid_aged
PhD,Married,83837.0,79,847,66,119,86,89,111,1,9,10,5,4,0,1,76,12,0,4,1318,25,Old
PhD,Married,38853.0,90,29,0,14,0,0,2,2,2,0,3,7,0,0,54,10,2,0,45,7,Mid_aged
Graduation,Engaged,38285.0,96,2,0,5,2,0,1,1,0,0,3,2,0,0,65,10,3,0,10,4,Mid_aged
PhD,Married,51650.0,81,152,3,22,2,5,7,1,4,1,4,5,0,0,48,10,1,2,191,10,Mid_aged
2n Cycle,Married,16248.0,77,12,11,10,3,12,9,3,2,1,3,6,0,0,36,10,1,2,57,9,Young
Master,Married,66835.0,21,620,26,195,34,17,141,1,6,4,13,2,0,0,78,11,0,0,1033,24,Old
Master,Married,30477.0,16,47,1,6,0,0,12,1,1,1,3,6,0,0,40,10,1,2,66,6,Young
Basic,Married,28249.0,80,1,9,7,2,14,10,1,2,0,3,6,0,0,63,10,0,0,43,6,Mid_aged
Graduation,Married,25271.0,45,10,1,18,10,4,7,1,1,1,2,9,0,0,41,12,1,2,50,5,Young
PhD,Single,32303.0,63,35,0,2,0,0,2,2,1,0,4,5,0,0,54,10,1,2,39,7,Mid_aged
Graduation,Married,61286.0,34,356,0,107,19,9,117,2,7,1,8,5,0,0,58,11,1,2,608,18,Mid_aged
Graduation,Married,74068.0,14,783,30,537,140,76,15,1,4,10,9,2,0,0,48,11,0,0,1581,24,Mid_aged
PhD,Married,45759.0,13,42,1,18,3,0,4,2,2,0,3,7,0,0,60,11,2,0,68,7,Mid_aged
Basic,Engaged,24882.0,52,1,4,10,29,0,36,1,1,1,2,6,0,0,46,12,1,2,80,5,Young
PhD,Engaged,66973.0,98,466,22,432,147,113,102,1,8,7,12,3,0,0,35,11,0,0,1282,28,Young
2n Cycle,Divorced,36640.0,99,15,6,8,7,4,25,1,2,1,2,5,1,0,124,11,1,3,65,6,Old
Graduation,Married,38872.0,93,23,3,21,3,19,22,2,3,0,3,8,0,0,36,11,1,2,91,8,Young
Graduation,Married,51148.0,38,235,6,45,8,9,12,4,5,1,6,6,0,0,51,11,2,0,315,16,Mid_aged
Graduation,Married,31353.0,24,10,0,10,3,1,7,2,1,1,2,8,0,0,47,11,2,0,31,6,Young
Master,Married,69661.0,80,656,16,106,32,16,8,1,7,3,12,3,0,0,44,10,0,0,834,23,Young
Graduation,Married,80067.0,82,519,17,813,27,173,51,1,4,6,6,2,0,0,70,11,0,0,1600,17,Old
Graduation,Married,86718.0,20,344,189,482,50,33,172,1,5,6,5,2,0,0,70,11,0,0,1270,17,Old
PhD,Single,46854.0,81,96,1,79,7,1,79,6,5,1,3,8,0,1,51,10,2,4,263,15,Mid_aged
Graduation,Divorced,69142.0,50,448,4,34,6,4,39,3,8,1,7,5,0,0,72,10,1,2,535,19,Old
Graduation,Single,75922.0,60,265,138,553,224,23,92,1,4,4,9,1,0,0,56,11,0,0,1295,18,Mid_aged
Graduation,Divorced,63693.0,63,587,43,337,42,87,54,3,11,6,9,6,0,0,46,11,1,2,1150,29,Young
PhD,Engaged,102160.0,54,763,29,138,76,176,58,0,7,9,10,4,0,1,47,12,0,4,1240,26,Young
PhD,Single,40637.0,72,22,0,13,0,0,3,2,1,0,3,7,0,0,59,11,2,0,38,6,Mid_aged
Master,Single,18890.0,5,6,4,1,7,2,15,1,0,1,2,6,0,1,40,12,0,4,35,4,Young
Graduation,Engaged,29604.0,88,7,6,13,7,6,14,1,1,0,3,9,0,0,36,11,1,2,53,5,Young
Master,Divorced,48721.0,50,81,18,113,47,13,21,6,4,2,5,6,0,0,61,11,2,0,293,17,Mid_aged
Graduation,Married,44794.0,99,54,0,7,0,0,4,1,2,0,3,6,0,0,58,10,1,2,65,6,Mid_aged
Graduation,Divorced,64497.0,17,1170,48,320,42,32,192,5,11,4,9,8,0,1,70,12,1,2,1804,29,Old
Graduation,Engaged,46097.0,11,72,24,68,65,4,8,5,3,1,6,4,0,0,68,11,1,2,241,15,Old
Graduation,Engaged,77972.0,18,613,22,319,33,102,12,1,4,6,9,1,0,0,70,10,0,0,1101,20,Old
PhD,Married,44377.0,70,224,0,30,0,0,10,8,5,1,5,8,0,0,56,12,2,0,264,19,Mid_aged
Master,Engaged,46014.0,21,410,0,59,19,9,44,10,7,1,8,7,0,0,50,11,2,0,541,26,Mid_aged
Graduation,Married,70951.0,66,239,10,554,254,87,54,1,3,4,9,1,0,0,39,11,0,0,1198,17,Young
Graduation,Married,41443.0,79,171,7,171,25,19,89,6,8,1,5,8,0,0,47,10,1,2,482,20,Young
2n Cycle,Single,52195.0,2,12,0,4,0,0,1,1,1,0,2,8,0,0,46,10,3,0,17,4,Young
Master,Married,83790.0,81,1076,16,417,42,48,16,1,8,10,6,3,0,0,76,11,0,0,1615,25,Old
Master,Widow,44551.0,24,182,4,33,0,0,66,2,4,1,5,7,0,0,70,11,1,2,285,12,Old
Graduation,Engaged,69508.0,48,824,32,162,42,32,43,2,11,4,11,6,0,0,44,12,1,2,1135,28,Young
2n Cycle,Engaged,45204.0,93,30,11,25,29,1,18,1,1,1,4,3,0,0,36,10,1,2,114,7,Young
Graduation,Married,72460.0,56,377,10,540,80,30,10,1,3,5,7,1,0,0,55,11,0,0,1047,16,Mid_aged
PhD,Engaged,77622.0,3,520,7,154,19,0,14,2,6,3,11,3,0,0,54,10,2,0,714,22,Mid_aged
PhD,Married,30732.0,44,155,1,25,0,1,3,4,4,1,4,8,0,0,44,11,1,2,185,13,Young
Graduation,Divorced,63887.0,38,897,23,207,15,11,92,5,9,6,12,6,0,0,62,12,1,2,1245,32,Mid_aged
Graduation,Engaged,42011.0,46,131,0,16,2,1,39,4,3,1,4,8,0,0,46,11,1,2,189,12,Young
Graduation,Engaged,51369.0,84,297,7,79,0,11,182,2,8,2,4,8,0,0,48,12,1,2,576,16,Mid_aged
Graduation,Divorced,51537.0,27,787,20,204,0,0,92,3,2,2,11,8,0,0,72,12,1,2,1103,18,Old
PhD,Married,79930.0,72,792,86,740,67,51,17,1,3,5,8,2,0,0,52,12,0,0,1753,17,Mid_aged
PhD,Engaged,34320.0,66,4,1,9,3,0,0,1,1,0,2,8,0,0,38,10,1,2,17,4,Young
Graduation,Single,37070.0,30,231,7,137,4,15,39,9,5,1,8,7,0,1,58,11,2,4,433,23,Mid_aged
2n Cycle,Divorced,81975.0,2,983,76,184,180,138,27,1,6,3,4,7,0,0,62,11,1,2,1588,14,Mid_aged
Graduation,Engaged,38590.0,65,3,1,8,4,3,3,1,1,0,2,8,0,0,53,11,1,2,22,4,Mid_aged
Graduation,Single,15033.0,37,0,4,5,6,0,4,1,1,0,3,3,0,0,73,10,0,0,19,5,Old
PhD,Married,62745.0,89,562,21,464,28,10,32,3,7,8,11,5,0,0,59,11,1,2,1117,29,Mid_aged
2n Cycle,Married,22212.0,49,5,9,20,6,8,21,2,2,0,4,6,0,0,49,11,1,2,69,8,Mid_aged
Master,Engaged,23661.0,46,18,0,4,0,0,1,1,1,0,3,7,0,0,42,11,1,2,23,5,Young
PhD,Single,79761.0,32,415,5,124,15,35,11,1,5,2,11,3,0,0,66,11,1,2,605,19,Old
Graduation,Single,7500.0,54,5,3,10,12,7,20,4,3,1,3,7,0,0,51,11,1,2,57,11,Mid_aged
2n Cycle,Single,60182.0,23,8,0,5,7,0,2,1,1,0,2,4,0,0,131,10,1,2,22,4,Old
Graduation,Widow,73455.0,98,901,61,757,186,163,20,1,6,5,10,3,0,0,56,11,0,0,2088,22,Mid_aged
Graduation,Engaged,64961.0,97,382,114,276,75,124,38,2,6,4,4,3,0,0,66,12,1,2,1009,16,Old
Graduation,Single,22804.0,75,14,1,7,2,1,1,1,2,0,2,9,0,0,53,11,1,2,26,5,Mid_aged
Graduation,Married,73687.0,8,559,153,503,218,13,181,1,3,9,9,2,0,1,34,11,0,4,1627,22,Young
Graduation,Married,61074.0,37,789,0,133,0,28,152,7,11,5,8,7,0,0,66,12,1,2,1102,31,Old
PhD,Married,31686.0,31,11,0,5,0,0,1,2,1,0,3,6,0,0,60,10,2,0,17,6,Mid_aged
